time,y,y_pred,state,county
56,0.9266222715317644,1.0743250948410443,california,losangeles
60,0.92194740326172,1.072272232329269,california,losangeles
1,1.1191506133431948,1.0116906266269312,california,losangeles
2,1.1132415371909608,1.0111774109989875,california,losangeles
3,1.110164706332724,1.0106641953710436,california,losangeles
4,1.1086474501108647,1.0101509797430999,california,losangeles
5,1.102936010977843,1.009637764115156,california,losangeles
6,1.0987945577351903,1.009124548487212,california,losangeles
7,1.0898192716374535,1.0086113328592683,california,losangeles
9,1.0890010890010893,1.0075849016033804,california,losangeles
10,1.0911584985659055,1.0070716859754367,california,losangeles
11,1.0943617250840039,1.0065584703474928,california,losangeles
12,1.081165574646016,1.0060452547195489,california,losangeles
13,1.0829701859602192,1.0055320390916052,california,losangeles
14,1.0897592661715556,1.0050188234636612,california,losangeles
15,1.0989010989010992,1.0045056078357173,california,losangeles
16,1.0984461212177543,1.0039923922077736,california,losangeles
17,1.0909592499550658,1.0034791765798297,california,losangeles
19,1.079530149297591,1.002452745323942,california,losangeles
22,1.0738249604646366,1.0009130984401104,california,losangeles
23,1.0573113969111545,1.0003998828121667,california,losangeles
25,1.0497674687867853,0.9993734515562789,california,losangeles
27,1.027168320401403,0.9983470203003912,california,losangeles
28,1.0201167013506345,0.9978338046724474,california,losangeles
30,1.0150133554388874,0.9968073734165597,california,losangeles
31,1.0090160466100315,0.9962941577886159,california,losangeles
32,1.0076747948853793,0.995780942160672,california,losangeles
33,1.0062105650340945,0.9952677265327281,california,losangeles
34,1.003953174371181,0.9947545109047844,california,losangeles
35,0.9942375505289412,0.9942412952768405,california,losangeles
38,0.9844284394948628,0.9927016483930089,california,losangeles
39,0.9842683605186812,0.9921884327650651,california,losangeles
40,0.9868550901985552,0.9916752171371213,california,losangeles
41,0.9869738989377816,0.9911620015091773,california,losangeles
42,0.9800608313619464,0.9906487858812336,california,losangeles
45,0.9791669962193714,0.989109138997402,california,losangeles
46,0.9780495957807684,0.9885959233694581,california,losangeles
47,0.9804703802813444,0.9880827077415143,california,losangeles
49,0.9774688197924712,0.9870562764856265,california,losangeles
50,0.9782696093175342,0.9865430608576828,california,losangeles
54,0.9822591961511477,0.9844901983459073,california,losangeles
55,0.9835210620893728,0.9839769827179635,california,losangeles
56,0.9871363790603696,0.9834637670900197,california,losangeles
60,0.9859250696947032,0.9814109045782442,california,losangeles
1,1.27804837433912,1.3815442236556934,california,losangeles
2,1.276806743522995,1.3810310080277495,california,losangeles
3,1.2732334397772866,1.3805177923998055,california,losangeles
4,1.2660275856489909,1.3800045767718618,california,losangeles
5,1.26617782586048,1.379491361143918,california,losangeles
6,1.2600229095074456,1.378978145515974,california,losangeles
7,1.2470862470862472,1.3784649298880303,california,losangeles
9,1.2474012474012477,1.3774384986321426,california,losangeles
10,1.253619875019052,1.3769252830041987,california,losangeles
11,1.2697336196827549,1.376412067376255,california,losangeles
12,1.2630484044726775,1.375898851748311,california,losangeles
13,1.2698412698412698,1.3753856361203671,california,losangeles
14,1.2553683515031384,1.3748724204924234,california,losangeles
15,1.2765957446808511,1.3743592048644795,california,losangeles
16,1.275934359864093,1.3738459892365356,california,losangeles
17,1.2695347423380896,1.3733327736085919,california,losangeles
19,1.2745303442977862,1.372306342352704,california,losangeles
22,1.2664798089899303,1.3707666954688724,california,losangeles
23,1.2431776834445118,1.3702534798409287,california,losangeles
25,1.2283308568598317,1.369227048585041,california,losangeles
26,1.2229723119068583,1.3687138329570971,california,losangeles
27,1.2210012210012209,1.3682006173291534,california,losangeles
28,1.225046812021962,1.3676874017012095,california,losangeles
29,1.2229806598407282,1.3671741860732656,california,losangeles
31,1.2098146601070578,1.366147754817378,california,losangeles
32,1.2036016170525543,1.365634539189434,california,losangeles
33,1.201282982328734,1.3651213235614903,california,losangeles
34,1.190901512444921,1.3646081079335464,california,losangeles
35,1.2038263428991909,1.3640948923056024,california,losangeles
36,1.2032634853554032,1.3635816766776587,california,losangeles
38,1.1953344331567828,1.3625552454217709,california,losangeles
39,1.1940383574135818,1.3620420297938272,california,losangeles
40,1.1932905549926829,1.3615288141658832,california,losangeles
41,1.1955522113535657,1.3610155985379393,california,losangeles
42,1.1950984441690762,1.3605023829099956,california,losangeles
43,1.2046204620462049,1.3599891672820519,california,losangeles
45,1.1936662606577344,1.358962736026164,california,losangeles
46,1.1889630335769517,1.3584495203982203,california,losangeles
47,1.18672547784079,1.3579363047702764,california,losangeles
49,1.1910250499462118,1.3569098735143887,california,losangeles
50,1.1923870671864252,1.3563966578864448,california,losangeles
54,1.1833884601249542,1.3543437953746693,california,losangeles
56,1.1684541375752775,1.3533173641187817,california,losangeles
60,1.1448516579406631,1.3512645016070064,california,losangeles
1,1.598173515981735,1.1923881503622988,california,sacramento
4,1.6415525114155247,1.1908485034784673,california,sacramento
8,1.6301369863013695,1.188795640966692,california,sacramento
16,1.6164383561643836,1.1846899159431412,california,sacramento
23,1.5776255707762556,1.1810974065475341,california,sacramento
27,1.4223744292237444,1.1790445440357589,california,sacramento
28,1.4337899543378996,1.178531328407815,california,sacramento
31,1.3698630136986298,1.1769916815239836,california,sacramento
37,1.3127853881278535,1.1739123877563205,california,sacramento
40,1.319634703196347,1.1723727408724889,california,sacramento
41,1.2968036529680365,1.171859525244545,california,sacramento
45,1.2031963470319635,1.1698066627327695,california,sacramento
