state,county,n,features,coef,vif,R2,nrmse,rmse
california,riverside,160,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.2180656888544079,inf,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,riverside,160,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.15051991044322496,inf,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,riverside,160,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.04649298566301909,inf,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,riverside,160,PUBLIC_TRANSPORTATION,-0.1331099437447687,inf,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,riverside,160,CAR_TRUCK_VAN_ALONE,-0.004946441812964887,inf,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,riverside,160,CAR_TRUCK_VAN_CARPOOL,0.10761801491763585,inf,0.9961624086246572,0.026297403432426793,0.017348662317184446
california,sonoma,10,constant,0.0,2340.5714285714284,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,time,0.005849573795044024,1.0069348127600555,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-1.2197091685425892,inf,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-6.102757188486409e-16,inf,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,2.6020852139652106e-18,inf,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,PUBLIC_TRANSPORTATION,2.6020852139652106e-18,inf,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,CAR_TRUCK_VAN_ALONE,2.949029909160572e-18,inf,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sonoma,10,CAR_TRUCK_VAN_CARPOOL,2.4286128663675298e-18,inf,0.9999663740783838,0.009812114516572995,0.005854013764337923
california,sacramento,184,constant,0.0,707.8994092827004,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,time,0.03685494472644106,1.0000000000000002,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.3014439969479905,inf,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.07351105014209998,inf,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.030669569224272098,inf,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,PUBLIC_TRANSPORTATION,-0.17879251776086716,inf,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,CAR_TRUCK_VAN_ALONE,0.06142071804062912,inf,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,sacramento,184,CAR_TRUCK_VAN_CARPOOL,-0.08150134813205279,inf,0.8742827363726002,0.08535024684665939,0.08725743281148012
california,alameda,92,constant,0.0,2579.1262106072254,0.9984050726869593,0.03233440262479949,0.02926027583000326
california,alameda,92,time,-0.0013016105306786596,1.0,0.9984050726869593,0.03233440262479949,0.02926027583000326
california,alameda,92,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.3178748724536906,inf,0.9984050726869593,0.03233440262479949,0.02926027583000326
california,alameda,92,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.681935092760062,inf,0.9984050726869593,0.03233440262479949,0.02926027583000326
california,alameda,92,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.10879605026943723,inf,0.9984050726869593,0.03233440262479949,0.02926027583000326
california,alameda,92,PUBLIC_TRANSPORTATION,-0.18378460705511393,inf,0.9984050726869593,0.03233440262479949,0.02926027583000326
