,mortality_rate,time,covid_perc,dem_perc,discrepancy,ethnicity,date,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,PUBLIC_TRANSPORTATION,CAR_TRUCK_VAN_ALONE,CAR_TRUCK_VAN_CARPOOL,detrended_mortality_rate,y_pred
111,2.2296189831989848,7,0.028999999999999998,0.198,0.14646464646464644,Non-Hispanic,2020-06-20,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-7.602876255487092,9.832495238686077
112,2.3132296950689466,11,0.028999999999999998,0.198,0.14646464646464644,Non-Hispanic,2020-06-24,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-8.056433410614591,10.369663105683538
113,2.3689701696489216,12,0.028999999999999998,0.198,0.14646464646464644,Non-Hispanic,2020-06-25,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-8.147210974798707,10.516181144447629
114,2.508321356098858,13,0.03,0.198,0.1515151515151515,Non-Hispanic,2020-06-26,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-8.251522747277864,10.759844103376722
115,2.6198023052588066,14,0.03,0.198,0.1515151515151515,Non-Hispanic,2020-06-27,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-8.455997650386788,11.075799955645595
116,2.7591534917087444,16,0.032,0.198,0.1616161616161616,Non-Hispanic,2020-06-29,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-8.430323627723673,11.189477119432418
117,2.8985046781586803,19,0.031,0.198,0.15656565656565655,Non-Hispanic,2020-07-02,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-9.076912415901921,11.975417094060601
118,3.0657261018986044,20,0.032,0.198,0.1616161616161616,Non-Hispanic,2020-07-03,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-9.201907608803976,12.267633710702581
119,3.31655823750849,23,0.033,0.198,0.16666666666666666,Non-Hispanic,2020-07-06,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-9.730319784239372,13.046878021747862
120,3.5673903731183767,25,0.034,0.198,0.1717171717171717,Non-Hispanic,2020-07-08,48725.806122448965,613.2009608543008,159.72432990891727,1.7999435348992503,321.71513043601914,29.594680352067986,-9.966515343032787,13.533905716151164
