White,Hispanic,Asian,Black,date,Native American,Native Hawaiian/Pacific Islander,Multi-Race,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native American_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Multi-Race_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native American_rates,Native Hawaiian/Pacific Islander_rates,Multi-Race_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native American_covidperc,Native Hawaiian/Pacific Islander_covidperc,Multi-Race_covidperc,Native American_demperc,Native Hawaiian/Pacific Islander_demperc,Multi-Race_demperc,Black_demperc,Asian_demperc,White_demperc,Hispanic_demperc
11,8,22,5,2020-06-24,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-25,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,8,22,5,2020-06-26,,,,0.588669950738916,1.14473684210526,1.39766081871345,2.09615384615385,,,,0.031039890102084,0.059703520674822,0.069322421227988,0.101282758287644,,,,0.239,0.174,0.478,0.109,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,22,5,2020-06-27,,,,0.576354679802956,1.25657894736842,1.36842105263158,2.03846153846154,,,,0.031039890102084,0.067166460759175,0.069322421227988,0.101282758287644,,,,0.234,0.191,0.468,0.106,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-06-29,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-06-30,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-02,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-03,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-05,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-06,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
