Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
77926,23339,9512,6094,952,253,881,2020-06-25,1.662632093011129,0.5360572270891291,0.5514597711778206,0.9314290037576604,0.25983414939087995,0.607662552735142,2.0572326321462566,5.005583358049099,1.6182958309742446,1.5531331136565985,2.372780851987147,0.6023452540243054,0.40019261887644236,4.459379569709353,0.6550770446463848,0.19619694511462124,0.07996166682078398,0.05122859520667132,0.008002891801239103,0.002126818934572997,0.007406037475726523,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
79934,23899,9647,6215,989,260,893,2020-06-26,1.6651606046507423,0.5359440416921811,0.5460659281068856,0.9274686671536562,0.26355203764365187,0.6097139151958295,2.035962437974963,5.134567411933074,1.6571255008549413,1.5751761088567289,2.419893829192668,0.6257557313340736,0.4112651419283598,4.520120267594157,0.6560732782323925,0.1961555192593383,0.07917955957549841,0.05101077669345109,0.008117402759424477,0.0021339987031854034,0.0073294647767098665,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
80875,24242,9724,6309,1019,266,900,2020-06-27,1.6643004618472366,0.5370330618039942,0.5437391572993655,0.9300611416799036,0.2682483932737308,0.61620788908258,2.026999635140066,5.195012628419538,1.6809086736568677,1.5877487801930996,2.4564939933027423,0.6447371994230747,0.42075587597286035,4.5555523413602925,0.6557343819678112,0.19655410062026188,0.07884217780840799,0.0511533627923947,0.008262050512830908,0.00215672761178903,0.007297198686504237,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
83658,25250,9976,6557,1045,288,924,2020-06-29,1.6627507810504367,0.540251774015657,0.5387711632132062,0.9335947455573449,0.26569383567927,0.6443774709526718,2.0099505604368644,5.373778874415106,1.7508020794421215,1.6288957045666765,2.553056128401661,0.6611878051002091,0.4555552341360293,4.677033737129901,0.6551238077338721,0.19773214928973046,0.07812181866591489,0.05134771100565397,0.008183370138921517,0.0022553211483343515,0.007235822017572711,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
88642,26891,10421,6953,1112,310,975,2020-07-01,1.662771946368711,0.5430192573436736,0.5311665990454191,0.9343270104223217,0.26683539366091247,0.6546105700602242,2.0016653856008197,5.6939265460076,1.8645868799318057,1.7015559480041436,2.707244053801548,0.7035797504989786,0.4903545922991982,4.935181703140317,0.6551321468692721,0.19874504818778455,0.07701915686158577,0.05138798557322769,0.008218530124756105,0.0022911369952107845,0.007205995388162951,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
91317,27871,10641,7144,1162,323,992,2020-07-02,1.6620224849981708,0.5460758208966922,0.5262546209863875,0.9314514814694091,0.2705433684279149,0.6617835373661836,1.9760168917573004,5.865755402650843,1.9325388022230245,1.7374778661080599,2.781612472365635,0.7352155306473139,0.5109178493956161,5.0212310251437895,0.6548368590892794,0.19986375044818933,0.07630692004302618,0.0512298314808175,0.008332735747579778,0.0023162423807816424,0.007113660810326282,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
95380,29598,11013,7432,1223,343,1029,2020-07-04,1.657886139202781,0.5538279695586599,0.5201531601441675,0.9254151729736932,0.2719376529454739,0.6711501321754851,1.9575212188451654,6.126742559488785,2.052286730587244,1.7982185639928636,2.8937491453837345,0.7738111824282831,0.5425536295439515,5.208514843621935,0.6532071388458958,0.2027010368584695,0.07542220822090427,0.05089783451355313,0.008375679710720596,0.002349025462614198,0.007047076387842595,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
97599,30519,11219,7693,1252,349,1063,2020-07-05,1.654797105892976,0.5570379968578524,0.5168705077899145,0.9343910061373687,0.2715496322454517,0.6661207911759036,1.972542505229186,6.269280216644432,2.1161476698017467,1.8318545418538035,2.995373005306387,0.7921599349143176,0.5520443635884521,5.380613487628879,0.6519900597218325,0.20387590684997395,0.0749462236295376,0.05139150533755528,0.008363728673159912,0.0023314227691156627,0.00710115301882507,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
98954,31221,11355,7869,1276,359,1086,2020-07-06,1.6510142273465644,0.5607630731562226,0.5147932213225493,0.9405254225133268,0.2723413846211637,0.6742797039930881,1.9830835305460603,6.356318758981477,2.1648234345450486,1.8540608184998608,3.063900972150781,0.8073451093855185,0.5678622536626198,5.497033158574753,0.6504996055745464,0.2052392847751775,0.07464501709176966,0.05172889823823298,0.008388114646331843,0.0023599789639758085,0.007139100709965817,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
98954,31221,11355,7869,1276,359,1086,2020-07-07,1.6510142273465644,0.5607630731562226,0.5147932213225493,0.9405254225133268,0.2723413846211637,0.6742797039930881,1.9830835305460603,6.356318758981477,2.1648234345450486,1.8540608184998608,3.063900972150781,0.8073451093855185,0.5678622536626198,5.497033158574753,0.6504996055745464,0.2052392847751775,0.07464501709176966,0.05172889823823298,0.008388114646331843,0.0023599789639758085,0.007139100709965817,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
