Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
7921,4911,1909,1235,119,51,78,2020-10-13,1.2391556283102554,0.82704837197271,0.8114840508739714,1.3840326340326339,0.23814326698942084,0.8981403212172443,1.3354700854700856,0.5088061209237855,0.3405223371144657,0.3117042802744372,0.4808638582546975,0.07529315675303817,0.08067123937825518,0.39481453625122537,0.48822731755424065,0.30269970414201186,0.11766518737672584,0.07612179487179487,0.007334812623274162,0.003143491124260355,0.004807692307692308,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
7959,4929,1914,1237,122,51,76,2020-10-14,1.2402079822085705,0.8268180939804824,0.8104125736738703,1.3808269333809609,0.24318755900288314,0.8946112826269996,1.2961143855053483,0.5112470542144185,0.34177043364634524,0.31252068750407164,0.48164258515065655,0.07719130356193829,0.08067123937825518,0.38469108660375806,0.4886419449901768,0.30261542239685657,0.11750982318271119,0.07594548133595284,0.007490176817288801,0.003131139489194499,0.004666011787819254,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8012,4950,1929,1243,122,52,76,2020-10-15,1.2411514514593909,0.8254754738729508,0.8119780441810346,1.37939453125,0.24176263189935066,0.9068080357142857,1.288519965277778,0.5146515138039857,0.3432265462668714,0.314969909192975,0.4839787658385336,0.07719130356193829,0.08225302838567194,0.38469108660375806,0.489013671875,0.3021240234375,0.11773681640625,0.07586669921875,0.0074462890625,0.003173828125,0.004638671875,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8054,4979,1943,1247,122,52,77,2020-10-16,1.2408415907176298,0.8257754726606787,0.8134029379628506,1.3762733563631948,0.24044184539510507,0.9018540037114761,1.2983421688047159,0.517349387441001,0.3452373684571217,0.31725584943595153,0.4855362196304517,0.07719130356193829,0.08225302838567194,0.3897528114274917,0.48889158674274613,0.3022338229938084,0.11794342600461333,0.07569503459997572,0.007405608838169236,0.0031564890129901664,0.004674031807696977,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8054,4979,1943,1247,122,52,77,2020-10-17,1.2408415907176298,0.8257754726606787,0.8134029379628506,1.3762733563631948,0.24044184539510507,0.9018540037114761,1.2983421688047159,0.517349387441001,0.3452373684571217,0.31725584943595153,0.4855362196304517,0.07719130356193829,0.08225302838567194,0.3897528114274917,0.48889158674274613,0.3022338229938084,0.11794342600461333,0.07569503459997572,0.007405608838169236,0.0031564890129901664,0.004674031807696977,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8128,5032,1963,1258,128,53,79,2020-10-18,1.2396755978826681,0.8261903659504489,0.8135286962612078,1.3744803360812015,0.24973524162274838,0.9099727866628894,1.3186974607562314,0.5221027838490757,0.34891231935654476,0.32052147835448935,0.48981921755822627,0.08098759717973854,0.08383481739308872,0.39987626107495905,0.4884321855657713,0.3023856739378643,0.11796166095787512,0.07559641848446608,0.00769184544198065,0.003184904753320113,0.004747310858722433,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8143,5035,1966,1260,129,53,78,2020-10-20,1.2402492012935267,0.8255419227732175,0.8136474249673051,1.3747654170121766,0.25133891552518534,0.9087168232631506,1.3002080332853256,0.5230663101480099,0.3491203354451914,0.32101132269227006,0.4905979444541853,0.08162031278270525,0.08383481739308872,0.39481453625122537,0.48865818530964955,0.3021483437349976,0.11797887662025924,0.07561209793566971,0.007741238598175708,0.003180508881421027,0.004680748919827172,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8248,5100,1998,1275,132,54,80,2020-10-22,1.2396524043515285,0.8251569982535795,0.8159714777537506,1.372761188003682,0.25378778265614294,0.9136360175621147,1.31593665080963,0.5298109942405483,0.3536273506992008,0.3262363289619306,0.496438396173878,0.08351845959160537,0.08541660640050548,0.4049379858986927,0.48842304731450226,0.3020074613608101,0.11831586427429383,0.07550186534020252,0.007816663705809202,0.003197726061467401,0.004737371942914668,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8296,5137,2013,1277,131,56,80,2020-10-25,1.2393076847234712,0.826104716049621,0.8171135150494205,1.3665792712290652,0.25033824327526505,0.9417304296645086,1.307958930089595,0.5328942783971373,0.3561928824591754,0.328685550650834,0.497217123069837,0.08288574398863865,0.08858018441533902,0.4049379858986927,0.48828722778104766,0.3023543260741613,0.11848145968216597,0.07516185991759859,0.0077104178928781636,0.00329605650382578,0.004708652148322542,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8339,5162,2020,1279,134,56,81,2020-10-27,1.2398204334420562,0.826186230250836,0.8160643478858076,1.3622251452489869,0.2548561508200662,0.9372620233143928,1.318024720285865,0.5356563871207484,0.3579263498645636,0.3298285207723222,0.49799584996579604,0.08478389079753879,0.08858018441533902,0.40999971072242636,0.4884892507761701,0.302384160271806,0.1183293304434421,0.07492238298869427,0.00784956944525804,0.0032804170816003748,0.004744888993029114,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
