White,Hispanic,Asian,Black,Native Hawaiian/Pacific Islander,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native Hawaiian/Pacific Islander_rates,Other_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native Hawaiian/Pacific Islander_covidperc,White_demperc,Hispanic_demperc,Asian_demperc,Black_demperc,Native Hawaiian/Pacific Islander_demperc,Other_demperc
598,1840,645,75,24,211,2020-06-27,0.4913444628185946,1.8483935742971875,0.41576562660899985,0.6812966150315534,1.2048192771084338,0.9854231741781941,1.0136921122643605,3.8177204474202378,0.8578698747861111,1.3894071892299973,2.489817683100155,,0.15035140562248994,0.4620983935742969,0.16214859437750995,0.019076305220883494,0.006024096385542169,0.306,0.25,0.39,0.028,0.005,0.054
624,1927,668,80,23,228,2020-06-28,0.4899605204888299,1.8529553099471392,0.4115378454638434,0.6864831468387461,1.1532916866890914,1.014469539217257,1.057765682362811,3.998232229444999,0.8884605834994143,1.4820343351786638,2.3860752796376485,,0.14992791926958193,0.4632388274867848,0.16049975973089894,0.019221528111484892,0.005766458433445458,0.306,0.25,0.39,0.028,0.005,0.054
624,1927,668,80,23,228,2020-06-29,0.4899605204888299,1.8529553099471392,0.4115378454638434,0.6864831468387461,1.1532916866890914,1.014469539217257,1.057765682362811,3.998232229444999,0.8884605834994143,1.4820343351786638,2.3860752796376485,,0.14992791926958193,0.4632388274867848,0.16049975973089894,0.019221528111484892,0.005766458433445458,0.306,0.25,0.39,0.028,0.005,0.054
624,1927,668,80,23,228,2020-06-30,0.4899605204888299,1.8529553099471392,0.4115378454638434,0.6864831468387461,1.1532916866890914,1.014469539217257,1.057765682362811,3.998232229444999,0.8884605834994143,1.4820343351786638,2.3860752796376485,,0.14992791926958193,0.4632388274867848,0.16049975973089894,0.019221528111484892,0.005766458433445458,0.306,0.25,0.39,0.028,0.005,0.054
752,2563,766,113,35,386,2020-07-06,0.4486156151641623,1.8714859437751004,0.3585437320377079,0.7367130861106764,1.2778386272362174,1.3048828309872487,1.2747432582321057,5.317835601488081,1.0188036032343581,2.0933734984398624,3.630984121187726,,0.13727637824023367,0.4678714859437751,0.1398320554947061,0.02062796641109894,0.006389193136181088,0.306,0.25,0.39,0.028,0.005,0.054
752,2563,766,113,35,386,2020-07-07,0.4486156151641623,1.8714859437751004,0.3585437320377079,0.7367130861106764,1.2778386272362174,1.3048828309872487,1.2747432582321057,5.317835601488081,1.0188036032343581,2.0933734984398624,3.630984121187726,,0.13727637824023367,0.4678714859437751,0.1398320554947061,0.02062796641109894,0.006389193136181088,0.306,0.25,0.39,0.028,0.005,0.054
762,2585,772,114,36,393,2020-07-08,0.44852234842063626,1.8623919308357348,0.35653587526786373,0.7333264717990943,1.2968299711815563,1.3108389369196287,1.2916946313468942,5.363482259011584,1.0267837881160895,2.111898927629596,3.7347265246502324,,0.1372478386167147,0.4655979827089337,0.13904899135446686,0.02053314121037464,0.006484149855907781,0.306,0.25,0.39,0.028,0.005,0.054
775,2623,779,115,38,412,2020-07-09,0.4466269306830399,1.8478337442761537,0.35178511754770997,0.7233432295073718,1.3384994716449454,1.3437177931718263,1.3137314163961196,5.442326485643089,1.0360940038114426,2.130424356819329,3.9422113315752454,,0.1366678407890102,0.4619584360690384,0.1371961958436069,0.020253610426206412,0.006692497358224727,0.306,0.25,0.39,0.028,0.005,0.054
812,2760,799,118,40,455,2020-07-10,0.4435224421263296,1.8452281464148421,0.34242319049272085,0.7043766863255414,1.3371218452281464,1.4114063921852655,1.3764514969208375,5.726580671130357,1.0626946200838803,2.186000644388529,4.149696138500258,,0.13571786729065685,0.46130703660371053,0.13354504429216113,0.01972254721711516,0.006685609226140732,0.306,0.25,0.39,0.028,0.005,0.054
812,2760,799,118,40,455,2020-07-11,0.4435224421263296,1.8452281464148421,0.34242319049272085,0.7043766863255414,1.3371218452281464,1.4114063921852655,1.3764514969208375,5.726580671130357,1.0626946200838803,2.186000644388529,4.149696138500258,,0.13571786729065685,0.46130703660371053,0.13354504429216113,0.01972254721711516,0.006685609226140732,0.306,0.25,0.39,0.028,0.005,0.054
844,2889,812,120,43,498,2020-07-12,0.43794378130208367,1.8348682121308353,0.3309964091164472,0.6804881368234814,1.3655128612257859,1.4643096573868248,1.430695890888161,5.994236072063623,1.0799850206609647,2.2230515027679956,4.4609233488877775,,0.1340107970784376,0.4587170530327088,0.1290885995554144,0.01905366783105748,0.00682756430612893,0.306,0.25,0.39,0.028,0.005,0.054
870,3008,831,122,44,522,2020-07-13,0.435097100085321,1.8391929073677775,0.3257060884697693,0.6660261169585535,1.345154387037603,1.4776317130337306,1.4747694609866115,6.241142992304389,1.1052556061197802,2.260102361147462,4.564665752350284,,0.13313971262610821,0.4597982268419444,0.12702537450321003,0.0186487312748395,0.006725771935188016,0.306,0.25,0.39,0.028,0.005,0.054
891,3087,845,125,46,548,2020-07-14,0.4329761644434726,1.8361338289962825,0.32218091697645596,0.6638343069569835,1.3680297397769516,1.5090183119922895,1.5103673445276677,6.405055989775149,1.1238760375104866,2.315678648716662,4.772150559275297,,0.1324907063197026,0.45903345724907063,0.12565055762081784,0.01858736059479554,0.006840148698884758,0.306,0.25,0.39,0.028,0.005,0.054
914,3192,853,130,47,568,2020-07-15,0.4297119989318319,1.836858006042296,0.31465681012508806,0.6679408923690322,1.3523234067040713,1.5132381698343431,1.5493555026916817,6.622915037046412,1.1345162840194616,2.4083057946653286,4.875892962737804,,0.13149187167314055,0.459214501510574,0.12271615594878435,0.018702344986332903,0.006761617033520357,0.306,0.25,0.39,0.028,0.005,0.054
922,3237,857,132,49,570,2020-07-16,0.427628710676247,1.8376383763837638,0.3118699826051515,0.669072624792182,1.3908600624467782,1.498091903995963,1.5629166011835125,6.716283200162668,1.139836407273949,2.445356653044795,5.083377769662817,,0.1308543854669316,0.45940959409594095,0.12162929321600909,0.018734033494181096,0.006954300312233892,0.306,0.25,0.39,0.028,0.005,0.054
923,3269,863,136,51,581,2020-07-17,0.42298974467550776,1.833683915299397,0.3103099863722497,0.6811306769236933,1.4303744215397558,1.5088009057999243,1.5646117384949914,6.782678338378672,1.1478165921556804,2.5194583698037283,5.29086257658783,,0.12943486187070538,0.4584209788248492,0.12102089468517739,0.019071658953863414,0.00715187210769878,0.306,0.25,0.39,0.028,0.005,0.054
935,3352,873,139,52,588,2020-07-18,0.419016921837228,1.8367123287671232,0.3066385669125395,0.6800391389432485,1.4246575342465753,1.491628614916286,1.5849533862327376,6.954890728126433,1.161116900291899,2.575034657372928,5.394604980050335,,0.12821917808219177,0.4591780821917808,0.11958904109589041,0.019041095890410958,0.007123287671232876,0.306,0.25,0.39,0.028,0.005,0.054
961,3421,884,144,52,593,2020-07-19,0.42120746725013325,1.8353004291845494,0.30400572246065805,0.6897608828939301,1.3948497854077253,1.4728381815291687,1.629026956331188,7.098055244904692,1.1757472392417398,2.667661803321595,5.394604980050335,,0.12888948497854077,0.45882510729613735,0.11856223175965665,0.019313304721030045,0.006974248927038627,0.306,0.25,0.39,0.028,0.005,0.054
1004,3560,910,147,53,648,2020-07-20,0.4209167096387411,1.8268120590121872,0.2993371819542442,0.6735086593970493,1.3598460551635663,1.5394483643361128,1.7019178607247794,7.38645912653046,1.2103280403959087,2.7232380908907947,5.498347383512842,,0.1288005131494548,0.4567030147530468,0.11674150096215523,0.018858242463117382,0.006799230275817832,0.306,0.25,0.39,0.028,0.005,0.054
