,White,Hispanic,Asian,Black,Native Hawaiian/Pacific Islander,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy
18,752,2563,766,113,35,386,2020-07-07,0.26197782106914824,1.8714859437751004,0.3585437320377079,0.7367130861106764,1.2778386272362174,1.3048828309872487
19,762,2585,772,114,36,393,2020-07-08,0.2619233561387685,1.8623919308357348,0.35653587526786373,0.7333264717990943,1.2968299711815563,1.3108389369196287
20,775,2623,779,115,38,412,2020-07-09,0.26081649005536295,1.8478337442761537,0.35178511754770997,0.7233432295073718,1.3384994716449454,1.3437177931718263
21,812,2760,799,118,40,455,2020-07-10,0.2590035635317879,1.8452281464148421,0.34242319049272085,0.7043766863255414,1.3371218452281464,1.4114063921852655
22,812,2760,799,118,40,455,2020-07-11,0.2590035635317879,1.8452281464148421,0.34242319049272085,0.7043766863255414,1.3371218452281464,1.4114063921852655
23,844,2889,812,120,43,498,2020-07-12,0.25574579595121677,1.8348682121308353,0.3309964091164472,0.6804881368234814,1.3655128612257859,1.4643096573868248
24,870,3008,831,122,44,522,2020-07-13,0.2540834210421912,1.8391929073677775,0.3257060884697693,0.6660261169585535,1.345154387037603,1.4776317130337306
25,891,3087,845,125,46,548,2020-07-14,0.25284485938874546,1.8361338289962825,0.32218091697645596,0.6638343069569835,1.3680297397769516,1.5090183119922895
26,914,3192,853,130,47,568,2020-07-15,0.2509386863991232,1.836858006042296,0.31465681012508806,0.6679408923690322,1.3523234067040713,1.5132381698343431
27,922,3237,857,132,49,570,2020-07-16,0.24972210966971678,1.8376383763837638,0.3118699826051515,0.669072624792182,1.3908600624467782,1.498091903995963
28,923,3269,863,136,51,581,2020-07-17,0.24701309517310185,1.833683915299397,0.3103099863722497,0.6811306769236933,1.4303744215397558,1.5088009057999243
29,935,3352,873,139,52,588,2020-07-18,0.24469308794311406,1.8367123287671232,0.3066385669125395,0.6800391389432485,1.4246575342465753,1.491628614916286
30,961,3421,884,144,52,593,2020-07-19,0.24597229957736788,1.8353004291845494,0.30400572246065805,0.6897608828939301,1.3948497854077253,1.4728381815291687
31,1004,3560,910,147,53,648,2020-07-20,0.2458025060104099,1.8268120590121872,0.2993371819542442,0.6735086593970493,1.3598460551635663,1.5394483643361128
32,1041,3652,934,152,59,681,2020-07-21,0.24691041776958064,1.8155605269699229,0.2976475012269196,0.6746919498597351,1.466567238379319,1.567376474162455
33,1054,3785,948,156,59,712,2020-07-22,0.24173180887866713,1.8194928494171374,0.2921246521775304,0.6695623808951534,1.4180987862035812,1.5845673819475043
34,1074,3910,959,159,60,729,2020-07-23,0.24019902972116333,1.8328840970350404,0.28817231442333985,0.6654835847382431,1.406304933786476,1.5820930505097857
35,1101,4020,971,162,60,742,2020-07-24,0.24098463564261255,1.8442481936001835,0.2855538008651898,0.663575442793243,1.376304622089689,1.5759537493681317
36,1124,4097,976,164,61,746,2020-07-25,0.24284367349019942,1.8553152949167893,0.2833198350010305,0.6671410780999821,1.403826559492811,1.5640003186703062
